NAME,INTAKE CODE,COURSE NAME,STUDY MODE,MODULE CODE,MODULE NAME
Dana Padilla,APUMP2009AI,MSc in Artificial Intelligence,Part time,CT095-6-M-RMCE,Research Methodology in Computing and Engineering
Dana Padilla,APUMP2009AI,MSc in Artificial Intelligence,Part time,CT100-3-M-DL,Deep Learning
Dana Padilla,APUMP2009AI,MSc in Artificial Intelligence,Part time,CT101-3-M-ESKE,Expert Systems and Knowledge Engineering
Kelvin Heath,APDMP2109AI,MSc in Artificial Intelligence,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Kelvin Heath,APDMP2109AI,MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Kelvin Heath,APDMP2109AI,MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Kelvin Heath,APDMP2109AI,MSc in Artificial Intelligence,Part time,CT014-3-M-PR,Pattern Recognition
Kelvin Heath,APDMP2109AI,MSc in Artificial Intelligence,Part time,CT052-3-M-NLP,Natural Language Processing
Kelvin Heath,APDMP2109AI,MSc in Artificial Intelligence,Part time,CT100-3-M-DL,Deep Learning
Hayley Crane,APDMP2111AI(PR),MSc in Artificial Intelligence,Part time,CT102-3-M-FL,Fuzzy Logic
Hayley Crane,APDMP2111AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Hayley Crane,APDMP2111AI(PR),MSc in Artificial Intelligence,Part time,CT014-3-M-PR,Pattern Recognition
Hayley Crane,APDMP2111AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Santiago Khan,APDMP2107AI,MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Santiago Khan,APDMP2107AI,MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Santiago Khan,APDMP2107AI,MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Santiago Khan,APDMP2107AI,MSc in Artificial Intelligence,Part time,CT014-3-M-PR,Pattern Recognition
Santiago Khan,APDMP2107AI,MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Santiago Khan,APDMP2107AI,MSc in Artificial Intelligence,Part time,CT095-6-M-RMCE,Research Methodology in Computing and Engineering
Santiago Khan,APDMP2107AI,MSc in Artificial Intelligence,Part time,CT100-3-M-DL,Deep Learning
Rafael Logan,APDMP2101AI(PR),MSc in Artificial Intelligence,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Rafael Logan,APDMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT102-3-M-FL,Fuzzy Logic
Rafael Logan,APDMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT099-3-M-CIO,Computational Intelligence Optimization
Rafael Logan,APDMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Rafael Logan,APDMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Rafael Logan,APDMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Rafael Logan,APDMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Rafael Logan,APDMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Lloyd Gay,APUMP2109AI(PR),MSc in Artificial Intelligence,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Lloyd Gay,APUMP2109AI(PR),MSc in Artificial Intelligence,Part time,CT102-3-M-FL,Fuzzy Logic
Lloyd Gay,APUMP2109AI(PR),MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Lloyd Gay,APUMP2109AI(PR),MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Lloyd Gay,APUMP2109AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Lloyd Gay,APUMP2109AI(PR),MSc in Artificial Intelligence,Part time,CT014-3-M-PR,Pattern Recognition
Heath Boyle,APUMP2201AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT098-3-M-AI,Artificial Intelligence
Heath Boyle,APUMP2201AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT048-3-M-BIS,Business Intelligence Systems
Heath Boyle,APUMP2201AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT052-3-M-NLP,Natural Language Processing
Heath Boyle,APUMP2201AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT131-3-M-ODL-DM,Image Processing and Computer Vision
Robbie Sharp,APDMP2105AI(PR),MSc in Artificial Intelligence,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Robbie Sharp,APDMP2105AI(PR),MSc in Artificial Intelligence,Part time,CT102-3-M-FL,Fuzzy Logic
Robbie Sharp,APDMP2105AI(PR),MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Robbie Sharp,APDMP2105AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Robbie Sharp,APDMP2105AI(PR),MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Robbie Sharp,APDMP2105AI(PR),MSc in Artificial Intelligence,Part time,CT014-3-M-PR,Pattern Recognition
Robbie Sharp,APDMP2105AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Lily O'Brien,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Lily O'Brien,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Lily O'Brien,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Lily O'Brien,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Lily O'Brien,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT014-3-M-PR,Pattern Recognition
Lily O'Brien,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Lily O'Brien,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT095-6-M-RMCE,Research Methodology in Computing and Engineering
Colin Joyce,APDMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT102-3-M-FL,Fuzzy Logic
Colin Joyce,APDMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT099-3-M-CIO,Computational Intelligence Optimization
Colin Joyce,APDMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Colin Joyce,APDMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Kingsley Cruz,APUMP2205AI(PR)-ODL,MSc in Artificial Intelligence,Distance Learning,CT098-3-M-AI,Artificial Intelligence
Kingsley Cruz,APUMP2205AI(PR)-ODL,MSc in Artificial Intelligence,Distance Learning,CT131-3-M-ODL-DM,Image Processing and Computer Vision
Lana Paul,APUMP2009AI,MSc in Artificial Intelligence,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Lana Paul,APUMP2009AI,MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Lana Paul,APUMP2009AI,MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Lana Paul,APUMP2009AI,MSc in Artificial Intelligence,Part time,CT052-3-M-NLP,Natural Language Processing
Lana Paul,APUMP2009AI,MSc in Artificial Intelligence,Part time,CT095-6-M-RMCE,Research Methodology in Computing and Engineering
Lana Paul,APUMP2009AI,MSc in Artificial Intelligence,Part time,CT100-3-M-DL,Deep Learning
Lana Paul,APUMP2009AI,MSc in Artificial Intelligence,Part time,CT101-3-M-ESKE,Expert Systems and Knowledge Engineering
Edmund Morgan,APUMP2105AI,MSc in Artificial Intelligence,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Edmund Morgan,APUMP2105AI,MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Edmund Morgan,APUMP2105AI,MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Edmund Morgan,APUMP2105AI,MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Edmund Morgan,APUMP2105AI,MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Edmund Morgan,APUMP2105AI,MSc in Artificial Intelligence,Part time,CT014-3-M-PR,Pattern Recognition
Edmund Morgan,APUMP2105AI,MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Edmund Morgan,APUMP2105AI,MSc in Artificial Intelligence,Part time,CT095-6-M-RMCE,Research Methodology in Computing and Engineering
Faisal Gibbons,APDMP2105AI,MSc in Artificial Intelligence,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Faisal Gibbons,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Faisal Gibbons,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Faisal Gibbons,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT014-3-M-PR,Pattern Recognition
Faisal Gibbons,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Faisal Gibbons,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT052-3-M-NLP,Natural Language Processing
Faisal Gibbons,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT095-6-M-RMCE,Research Methodology in Computing and Engineering
Faisal Gibbons,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT101-3-M-ESKE,Expert Systems and Knowledge Engineering
Maximus Glass,APUMP2109AI(PR),MSc in Artificial Intelligence,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Maximus Glass,APUMP2109AI(PR),MSc in Artificial Intelligence,Part time,CT099-3-M-CIO,Computational Intelligence Optimization
Maximus Glass,APUMP2109AI(PR),MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Maximus Glass,APUMP2109AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Maximus Glass,APUMP2109AI(PR),MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Maximus Glass,APUMP2109AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Cai Dean,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Cai Dean,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT099-3-M-CIO,Computational Intelligence Optimization
Cai Dean,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Cai Dean,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Cai Dean,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Cai Dean,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Cai Dean,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT014-3-M-PR,Pattern Recognition
Cai Dean,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Cai Dean,APUMP2101AI(PR),MSc in Artificial Intelligence,Part time,CT095-6-M-RMCE,Research Methodology in Computing and Engineering
Mia Bennett,APUMP2109AI-ODL,MSc in Artificial Intelligence,Distance Learning,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Mia Bennett,APUMP2109AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT097-3-M-AR,Applied Robotics
Mia Bennett,APUMP2109AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT046-3-M-AML,Applied Machine Learning
Mia Bennett,APUMP2109AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT048-3-M-BIS,Business Intelligence Systems
Mia Bennett,APUMP2109AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT095-6-M-RMCE,Research Methodology in Computing and Engineering
Mia Bennett,APUMP2109AI-ODL,MSc in Artificial Intelligence,Distance Learning,CT130-3-M-ODL-DAP,Pattern Recognition
Ayesha Kramer,APDMP2111AI,MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Ayesha Kramer,APDMP2111AI,MSc in Artificial Intelligence,Part time,CT046-3-M-AML,Applied Machine Learning
Ayesha Kramer,APDMP2111AI,MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Ayesha Kramer,APDMP2111AI,MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Ayesha Kramer,APDMP2111AI,MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Emmie Mcbride,APDMP2105AI,MSc in Artificial Intelligence,Part time,AQ049-3-M-MMDA,Multivariate Methods for Data Analysis
Emmie Mcbride,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT097-3-M-AR,Applied Robotics
Emmie Mcbride,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Emmie Mcbride,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
Emmie Mcbride,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT014-3-M-PR,Pattern Recognition
Emmie Mcbride,APDMP2105AI,MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Mae Love,APDMP2207AI(PR),MSc in Artificial Intelligence,Part time,CT103-3-M-IPCV,Image Processing and Computer Vision
Adelaide Potter,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT102-3-M-FL,Fuzzy Logic
Adelaide Potter,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT098-3-M-AI,Artificial Intelligence
Adelaide Potter,APDMP2201AI(PR),MSc in Artificial Intelligence,Part time,CT048-3-M-BIS,Business Intelligence Systems
